date,best_score,criterion,max_depth,min_impurity_decrease,min_samples_split,min_weight_fraction_leaf,random_state,splitter,test,model_name,scaler,max_features,class_weight,penalty,solver,gamma,kernel
2022-11-21 13:32,0.8,entropy,8,0,2,0,42,best,123,,,,,,,,
2022-11-21 13:56,0.721253339,gini,14,0,2,0,42,best,,DecisionTreeClassifier,StandardScaler,,,,,,
2022-11-21 16:21,0.786927929,entropy,,0,5,0,42,,,RandomForestClassifierr,StandardScaler,auto,,,,,
2022-11-21 16:49,0.711579467,,,,,,42,,,LogisticRegression,StandardScaler,,balanced,l2,liblinear,,
