iter	Passed	Remaining
217	583	2093
218	585	2087
219	587	2081
220	587	2072
221	589	2064
222	589	2055
223	607	2104
224	624	2150
225	625	2141
226	641	2185
227	643	2177
228	644	2169
229	646	2163
230	647	2154
231	649	2148
232	650	2140
233	652	2134
234	652	2125
235	670	2171
236	672	2165
237	674	2160
238	676	2153
239	680	2154
240	681	2145
241	682	2136
242	683	2128
243	687	2129
244	688	2122
245	690	2116
246	691	2107
247	692	2098
248	692	2089
249	693	2080
250	694	2071
251	694	2062
252	697	2058
253	698	2051
254	700	2047
255	702	2041
256	703	2033
257	705	2028
258	706	2020
259	706	2011
260	723	2049
261	739	2082
262	740	2074
263	741	2067
264	742	2060
265	743	2051
266	744	2043
267	745	2036
268	747	2030
269	747	2021
270	754	2029
271	771	2065
272	772	2057
273	774	2051
274	790	2082
275	791	2075
276	792	2069
277	793	2061
278	797	2061
279	799	2055
280	800	2048
281	805	2050
282	806	2043
283	819	2066
284	820	2058
285	821	2051
286	825	2051
287	826	2043
288	828	2038
289	829	2032
290	831	2025
291	832	2019
292	834	2013
293	835	2007
294	837	2000
295	839	1995
296	840	1989
297	841	1981
298	843	1977
299	844	1970
300	845	1964
301	846	1956
302	847	1948
303	848	1942
304	866	1974
305	867	1968
306	870	1965
307	871	1958
308	885	1981
309	903	2010
310	904	2002
311	904	1995
312	905	1987
313	918	2007
314	922	2006
315	923	1998
316	924	1991
317	925	1984
318	926	1977
319	933	1983
320	935	1978
321	936	1971
322	937	1965
323	938	1958
324	940	1953
325	942	1948
326	943	1941
327	945	1938
328	947	1932
329	948	1925
330	949	1919
331	950	1913
332	953	1909
333	954	1902
334	955	1896
335	956	1890
336	957	1883
337	957	1876
338	958	1869
339	960	1864
340	961	1858
341	962	1851
342	965	1849
343	967	1844
344	969	1839
345	971	1835
346	972	1830
347	975	1827
348	977	1822
349	979	1819
350	980	1813
351	981	1806
352	984	1803
353	985	1799
354	987	1794
355	988	1788
356	989	1782
357	990	1776
358	992	1772
359	993	1765
360	994	1760
361	996	1756
362	999	1753
363	1007	1760
364	1009	1756
365	1013	1756
366	1015	1751
367	1017	1746
368	1019	1743
369	1039	1769
370	1040	1763
371	1041	1757
372	1043	1753
373	1043	1747
374	1044	1741
375	1046	1737
376	1047	1731
377	1053	1732
378	1054	1727
379	1056	1723
380	1057	1717
381	1067	1727
382	1069	1723
383	1070	1717
384	1072	1712
385	1073	1708
386	1074	1702
387	1077	1699
388	1078	1693
389	1079	1688
390	1080	1682
391	1095	1699
392	1102	1702
393	1119	1722
394	1132	1734
395	1149	1753
396	1150	1747
397	1151	1742
398	1153	1737
399	1154	1731
400	1163	1737
401	1165	1733
402	1166	1727
403	1177	1737
404	1179	1732
405	1181	1728
406	1182	1722
407	1192	1730
408	1194	1725
409	1197	1722
410	1198	1717
411	1199	1711
412	1199	1705
413	1200	1699
414	1208	1703
415	1211	1700
416	1212	1694
417	1214	1691
418	1215	1685
419	1217	1680
420	1217	1674
421	1219	1670
422	1237	1687
423	1238	1682
424	1239	1677
425	1241	1672
426	1241	1666
427	1243	1662
428	1252	1666
429	1253	1661
430	1255	1656
431	1256	1652
432	1257	1646
433	1267	1653
434	1271	1651
435	1272	1645
436	1273	1640
437	1275	1636
438	1276	1631
439	1281	1631
440	1284	1628
441	1285	1622
442	1285	1616
443	1286	1611
444	1287	1605
445	1288	1600
446	1297	1604
447	1299	1601
448	1300	1595
449	1302	1591
450	1304	1587
451	1306	1583
452	1306	1578
453	1308	1573
454	1309	1568
455	1309	1562
456	1328	1578
457	1335	1580
458	1336	1575
459	1337	1570
460	1338	1565
461	1339	1559
462	1341	1555
463	1342	1550
464	1343	1545
465	1345	1541
466	1346	1536
467	1348	1532
468	1349	1527
469	1350	1523
470	1374	1543
471	1389	1554
472	1391	1550
473	1393	1546
474	1394	1541
475	1395	1536
476	1396	1531
477	1397	1526
478	1404	1527
479	1406	1523
480	1408	1519
481	1421	1527
482	1423	1523
483	1434	1529
484	1435	1524
485	1439	1522
486	1440	1516
487	1444	1515
488	1445	1510
489	1448	1507
490	1467	1520
491	1468	1516
492	1469	1511
493	1472	1508
494	1473	1503
495	1474	1498
496	1477	1495
497	1478	1490
498	1479	1485
499	1480	1480
500	1481	1475
501	1482	1471
502	1483	1465
503	1484	1460
504	1497	1467
505	1498	1462
506	1512	1470
507	1514	1466
508	1515	1461
509	1515	1456
510	1517	1452
511	1520	1448
512	1526	1448
513	1544	1460
514	1545	1455
515	1545	1450
516	1546	1444
517	1547	1439
518	1548	1435
519	1549	1430
520	1550	1425
521	1551	1420
522	1553	1416
523	1555	1412
524	1556	1408
525	1558	1404
526	1560	1400
527	1561	1396
528	1573	1401
529	1574	1396
530	1575	1391
531	1577	1387
532	1578	1382
533	1588	1386
534	1592	1384
535	1603	1388
536	1604	1383
537	1618	1389
538	1620	1385
539	1621	1380
540	1621	1375
541	1622	1370
542	1623	1366
543	1624	1361
544	1624	1356
545	1625	1351
546	1626	1346
547	1632	1346
548	1634	1342
549	1635	1338
550	1636	1333
551	1637	1328
552	1638	1324
553	1639	1320
554	1640	1315
555	1641	1310
556	1641	1305
557	1642	1301
558	1660	1309
559	1661	1305
560	1662	1300
561	1665	1297
562	1669	1295
563	1670	1291
564	1673	1288
565	1695	1299
566	1696	1295
567	1697	1291
568	1698	1286
569	1699	1282
570	1701	1278
571	1702	1273
572	1705	1271
573	1706	1266
574	1722	1272
575	1723	1268
576	1723	1263
577	1724	1259
578	1740	1265
579	1742	1261
580	1757	1267
581	1771	1272
582	1773	1268
583	1776	1265
584	1777	1260
585	1779	1257
586	1781	1253
587	1783	1249
588	1784	1245
589	1785	1240
590	1799	1245
591	1801	1241
592	1803	1237
593	1803	1232
594	1804	1228
595	1805	1224
596	1807	1219
597	1807	1215
598	1808	1210
599	1808	1205
600	1809	1201
601	1814	1199
602	1816	1196
603	1818	1192
604	1819	1187
605	1821	1184
606	1821	1179
607	1823	1175
608	1824	1171
609	1825	1167
610	1830	1165
611	1831	1161
612	1833	1157
613	1834	1153
614	1835	1148
615	1835	1144
616	1836	1140
617	1849	1143
618	1883	1159
619	1884	1155
620	1889	1152
621	1890	1148
622	1892	1145
623	1893	1141
624	1896	1137
625	1897	1133
626	1898	1129
627	1899	1125
628	1901	1121
629	1902	1117
630	1903	1112
631	1903	1108
632	1904	1104
633	1905	1099
634	1907	1096
635	1908	1092
636	1910	1088
637	1912	1085
638	1914	1081
639	1914	1077
640	1918	1074
641	1919	1070
642	1929	1071
643	1943	1074
644	1959	1078
645	1961	1074
646	1975	1077
647	1976	1073
648	1977	1069
649	1978	1065
650	1979	1061
651	1980	1056
652	1981	1052
653	1984	1049
654	1985	1045
655	1987	1041
656	1988	1037
657	1989	1033
658	1990	1029
659	1991	1025
660	1991	1021
661	1994	1018
662	2003	1018
663	2018	1021
664	2019	1017
665	2020	1013
666	2033	1015
667	2035	1011
668	2038	1008
669	2039	1004
670	2040	1000
671	2041	996
672	2042	992
673	2059	995
674	2074	998
675	2075	994
676	2076	990
677	2078	986
678	2078	982
679	2079	978
680	2090	979
681	2093	976
682	2095	972
683	2104	972
684	2106	968
685	2107	964
686	2109	960
687	2123	962
688	2125	959
689	2125	955
690	2126	950
691	2128	947
692	2129	943
693	2131	939
694	2133	936
695	2134	932
696	2135	928
697	2136	924
698	2137	920
699	2140	917
700	2141	913
701	2152	913
702	2153	909
703	2154	905
704	2155	902
705	2169	903
706	2170	899
707	2171	895
708	2173	891
709	2176	888
710	2177	885
711	2190	885
712	2193	882
713	2194	878
714	2197	876
715	2199	872
716	2200	868
717	2202	864
718	2203	861
719	2203	857
720	2205	853
721	2206	849
722	2207	845
723	2209	842
724	2212	839
725	2213	835
726	2217	832
727	2219	829
728	2221	825
729	2221	821
730	2222	817
731	2226	815
732	2227	811
733	2227	807
734	2234	805
735	2237	802
736	2238	798
737	2239	794
738	2239	791
739	2240	787
740	2242	783
741	2250	782
742	2252	778
743	2266	779
744	2267	776
745	2269	772
746	2281	772
747	2282	769
748	2283	765
749	2285	761
750	2297	761
751	2312	762
752	2331	764
753	2333	761
754	2346	761
755	2348	757
756	2349	754
757	2350	750
758	2351	746
759	2353	743
760	2357	740
761	2359	736
762	2359	732
763	2360	729
764	2363	725
765	2365	722
766	2366	718
767	2367	715
768	2368	711
769	2370	707
770	2371	704
771	2372	700
772	2373	697
773	2374	693
774	2376	689
775	2377	686
776	2379	682
777	2380	679
778	2381	675
779	2382	671
780	2386	669
781	2387	665
782	2391	662
783	2392	659
784	2394	655
785	2395	652
786	2397	648
787	2398	645
788	2401	642
789	2403	638
790	2406	635
791	2407	632
792	2418	631
793	2419	627
794	2421	624
795	2422	620
796	2423	617
797	2424	613
798	2425	610
799	2427	606
800	2428	603
801	2429	599
802	2431	596
803	2432	593
804	2434	589
805	2435	586
806	2436	582
807	2437	579
808	2438	575
809	2440	572
810	2442	569
811	2442	565
812	2444	562
813	2446	558
814	2447	555
815	2460	554
816	2475	554
817	2479	551
818	2491	550
819	2494	547
820	2495	544
821	2497	540
822	2499	537
823	2500	534
824	2502	530
825	2504	527
826	2506	524
827	2508	521
828	2509	517
829	2511	514
830	2535	515
831	2547	514
832	2555	512
833	2556	508
834	2559	505
835	2569	504
836	2571	500
837	2585	499
838	2589	496
839	2613	497
840	2614	494
841	2615	490
842	2616	487
843	2619	484
844	2621	480
845	2623	477
846	2625	474
847	2627	470
848	2642	470
849	2644	466
850	2647	463
851	2661	462
852	2664	459
853	2666	455
854	2667	452
855	2668	448
856	2669	445
857	2670	442
858	2672	438
859	2687	437
860	2688	434
861	2692	431
862	2693	427
863	2706	426
864	2724	425
865	2726	421
866	2727	418
867	2730	415
868	2731	411
869	2733	408
870	2735	405
871	2735	401
872	2736	398
873	2737	394
874	2739	391
875	2740	387
876	2742	384
877	2742	381
878	2744	377
879	2745	374
880	2747	371
881	2749	367
882	2750	364
883	2750	360
884	2752	357
885	2753	354
886	2757	351
887	2770	349
888	2785	347
889	2786	344
890	2800	342
891	2802	339
892	2807	336
893	2809	333
894	2811	329
895	2812	326
896	2814	323
897	2815	319
898	2816	316
899	2818	313
900	2818	309
901	2830	307
902	2832	304
903	2833	300
904	2834	297
905	2835	294
906	2836	290
907	2838	287
908	2840	284
909	2844	281
910	2845	277
911	2868	276
912	2870	273
913	2871	270
914	2874	267
915	2877	263
916	2882	260
917	2883	257
918	2884	254
919	2887	251
920	2888	247
921	2890	244
922	2891	241
923	2893	237
924	2894	234
925	2896	231
926	2914	229
927	2916	226
928	2917	222
929	2920	219
930	2921	216
931	2922	213
932	2923	209
933	2924	206
934	2950	205
935	2966	202
936	2982	200
937	2999	198
938	3013	195
939	3014	192
940	3015	189
941	3016	185
942	3020	182
943	3021	179
944	3023	175
945	3023	172
946	3025	169
947	3026	166
948	3027	162
949	3028	159
950	3030	156
951	3046	153
952	3048	150
953	3049	147
954	3049	143
955	3050	140
956	3051	137
957	3052	133
958	3053	130
959	3054	127
960	3055	124
961	3056	120
962	3057	117
963	3059	114
964	3062	111
965	3065	107
966	3065	104
967	3066	101
968	3074	98
969	3077	95
970	3078	91
971	3079	88
972	3081	85
973	3082	82
974	3083	79
975	3084	75
976	3085	72
977	3089	69
978	3091	66
979	3092	63
980	3095	59
981	3096	56
982	3098	53
983	3099	50
984	3100	47
985	3101	44
986	3102	40
987	3103	37
988	3104	34
989	3107	31
990	3111	28
991	3112	25
992	3113	21
993	3115	18
994	3118	15
995	3120	12
996	3129	9
997	3131	6
998	3132	3
999	3134	0
