iter	Logloss
0	0.69301536
1	0.6842241163
2	0.6784736087
3	0.6674584987
4	0.6643337424
5	0.6641206497
6	0.6581239621
7	0.658122198
8	0.6513404301
9	0.645506025
10	0.6434303279
11	0.6434072003
12	0.6376935924
13	0.6376656599
14	0.6313820136
15	0.627355438
16	0.6270742125
17	0.6231859062
18	0.6217886724
19	0.6217885733
20	0.6169314291
21	0.6169334126
22	0.6161732443
23	0.6112673686
24	0.6112669493
25	0.6112655672
26	0.610788706
27	0.6030150912
28	0.6030121547
29	0.6030118256
30	0.6026312436
31	0.6022880891
32	0.6009657032
33	0.5961857362
34	0.5961850018
35	0.5930924894
36	0.5893877437
37	0.5859061705
38	0.5807896204
39	0.5807874511
40	0.5803317025
41	0.5803011115
42	0.5768417815
43	0.5744501574
44	0.5717370971
45	0.5690837947
46	0.5674165028
47	0.5662011039
48	0.5633899634
49	0.5579755612
50	0.5570082303
51	0.5546122934
52	0.554606139
53	0.5532766669
54	0.5531492834
55	0.5531465154
56	0.5502832682
57	0.5502796211
58	0.5490817668
59	0.547585601
60	0.5474652672
61	0.5435930175
62	0.5428985812
63	0.540978259
64	0.5409756906
65	0.538722901
66	0.5378247361
67	0.5350680737
68	0.533665286
69	0.5313756704
70	0.5312744024
71	0.5286490933
72	0.5280940285
73	0.5280919819
74	0.5280905758
75	0.5250442256
76	0.5222777624
77	0.5199096535
78	0.5175271727
79	0.5154999176
80	0.5153604115
81	0.5153577604
82	0.5141220846
83	0.514120399
84	0.5141181109
85	0.5122006105
86	0.5121571626
87	0.5116854575
88	0.5116830507
89	0.5103123216
90	0.5103114784
91	0.5099326122
92	0.5090439488
93	0.5085971073
94	0.5072626178
95	0.5072602828
96	0.506689784
97	0.5036573609
98	0.5036565566
99	0.5036531848
100	0.5036515768
101	0.5036504898
102	0.503216511
103	0.5021769107
104	0.5014561025
105	0.500613257
106	0.4997114218
107	0.4976688051
108	0.4976680336
109	0.496179788
110	0.4954447406
111	0.494899449
112	0.4932121904
113	0.492020444
114	0.4914527276
115	0.4904602233
116	0.4900474557
117	0.4900463588
118	0.4891195578
119	0.4891189807
120	0.4891180439
121	0.4891163851
122	0.4891166105
123	0.4870207798
124	0.4869379897
125	0.4865104599
126	0.4852171924
127	0.4836232368
128	0.4836197474
129	0.4835930119
130	0.4835921176
131	0.4835285681
132	0.4833287286
133	0.4825564556
134	0.482126012
135	0.4819041925
136	0.4814681416
137	0.4810523392
138	0.4809401561
139	0.479472752
140	0.4794721687
141	0.4792475856
142	0.4782578858
143	0.4773940597
144	0.4771285614
145	0.4765383342
146	0.4758405698
147	0.474606093
148	0.4739641192
149	0.471800322
150	0.4718002138
151	0.4715254958
152	0.4709091065
153	0.4696882796
154	0.4683753573
155	0.4676391528
156	0.4676391135
157	0.4674440616
158	0.466876255
159	0.4665596849
160	0.4664456249
161	0.4664461938
162	0.4655060653
163	0.4654812261
164	0.4643318754
165	0.4631457092
166	0.4617145074
167	0.4611755692
168	0.4609713081
169	0.460923538
170	0.460286431
171	0.4602864777
172	0.4601359454
173	0.4600343108
174	0.4599454766
175	0.4595916689
176	0.4591227739
177	0.4588479134
178	0.4587184931
179	0.4584251391
180	0.458240097
181	0.4579109391
182	0.4579104991
183	0.4578843925
184	0.4567633025
185	0.4554183417
186	0.455418266
187	0.4553087102
188	0.4553085099
189	0.4543159759
190	0.4543160143
191	0.4540588521
192	0.4535377318
193	0.4533240993
194	0.4531500616
195	0.4531499412
196	0.4525824057
197	0.4523776867
198	0.4519138555
199	0.4518876726
200	0.4518766806
201	0.4517589469
202	0.4517591889
203	0.4517432513
204	0.451743051
205	0.4516314862
206	0.4505913783
207	0.4504649026
208	0.4504649838
209	0.4502515162
210	0.4502377825
211	0.450229458
212	0.4502208428
213	0.4502213252
214	0.4494291392
215	0.4492920586
216	0.4492922601
217	0.4491896765
218	0.448911955
219	0.4479997665
220	0.447992483
221	0.447828696
222	0.4478046137
223	0.4477506122
224	0.4473891151
225	0.4473623811
226	0.4468260459
227	0.4468259654
228	0.4466787797
229	0.4462021028
230	0.4460576903
231	0.4455926655
232	0.4455092849
233	0.4452288069
234	0.4452288031
235	0.4445088717
236	0.444231179
237	0.4441390886
238	0.4439879331
239	0.4430219138
240	0.4430218322
241	0.4430124539
242	0.4429282552
243	0.4420609729
244	0.4419841878
245	0.4416865726
246	0.4416057558
247	0.4416057549
248	0.4416056345
249	0.4415804815
250	0.4415141746
251	0.4415140132
252	0.44128828
253	0.4412885199
254	0.4407331526
255	0.4406269962
256	0.4405203918
257	0.4402368536
258	0.4401457767
259	0.440145897
260	0.439969842
261	0.4397885653
262	0.4397887239
263	0.4396796554
264	0.4396725537
265	0.439672353
266	0.4396668235
267	0.439431138
268	0.4393356264
269	0.4393359473
270	0.4387767283
271	0.438558494
272	0.4385585332
273	0.4383927034
274	0.4381992683
275	0.4381995875
276	0.4381423223
277	0.4381142704
278	0.4378658154
279	0.4377074593
280	0.4376388964
281	0.437286937
282	0.4372868528
283	0.4372698384
284	0.437269398
285	0.4372695955
286	0.4366255248
287	0.4366147894
288	0.43634836
289	0.4363307794
290	0.4362186928
291	0.4361674755
292	0.4359947505
293	0.4358557591
294	0.435632383
295	0.4354128002
296	0.4353757554
297	0.4353757153
298	0.4351652662
299	0.4349895689
300	0.4347784855
301	0.4347733701
302	0.4347733701
303	0.4347524552
304	0.4345537122
305	0.4345444894
306	0.434045699
307	0.433819709
308	0.4337180567
309	0.433415423
310	0.4334155415
311	0.4334127241
312	0.4334127222
313	0.4325962088
314	0.432255343
315	0.4322550201
316	0.4322479279
317	0.4322397963
318	0.4322391953
319	0.4318223436
320	0.4317703208
321	0.4317459032
322	0.4317333224
323	0.431650927
324	0.4315193496
325	0.4313066558
326	0.4313064943
327	0.4308708703
328	0.43082062
329	0.430814137
330	0.4306026389
331	0.4305879616
332	0.4302856191
333	0.430284978
334	0.4302387641
335	0.4302321953
336	0.4302319537
337	0.4302322747
338	0.4302324343
339	0.4299555774
340	0.4299497527
341	0.4299495119
342	0.4295532685
343	0.4293768795
344	0.4291614971
345	0.429023375
346	0.4288427467
347	0.4284057019
348	0.4280834348
349	0.4278140362
350	0.4277531131
351	0.4277531122
352	0.4274129025
353	0.4273016961
354	0.4270904797
355	0.4269432645
356	0.4269435445
357	0.4267095538
358	0.4266091376
359	0.4266092179
360	0.4264278971
361	0.4260994425
362	0.4254493076
363	0.4252411484
364	0.4247786477
365	0.4244137667
366	0.4243887053
367	0.4242814615
368	0.4240706829
369	0.4237783126
370	0.4237783527
371	0.4237748408
372	0.4236396004
373	0.4236084348
374	0.4236081531
375	0.4232354021
376	0.4232354832
377	0.4228273328
378	0.4228210035
379	0.422778208
380	0.4227381343
381	0.422533748
382	0.4224339203
383	0.422434319
384	0.4221091736
385	0.4220044371
386	0.4220045174
387	0.4217483564
388	0.4217415463
389	0.4216849155
390	0.4216751422
391	0.4212110634
392	0.4209166396
393	0.4203535785
394	0.4203035567
395	0.4202279302
396	0.4202167333
397	0.4201772048
398	0.4200035417
399	0.420003581
400	0.4199689199
401	0.4197494478
402	0.4197427109
403	0.4193971751
404	0.4193127059
405	0.419153313
406	0.4191224509
407	0.4183350526
408	0.4183011112
409	0.4178429683
410	0.4178369247
411	0.4178367642
412	0.4178365621
413	0.417833974
414	0.4174857658
415	0.4173593619
416	0.4173592786
417	0.4171118795
418	0.4171121203
419	0.4170593645
420	0.4170592442
421	0.4168373562
422	0.4166215699
423	0.4166208833
424	0.4166066986
425	0.4164677728
426	0.4164676115
427	0.4161822736
428	0.4158873324
429	0.4158871262
430	0.4158045644
431	0.4156866837
432	0.4156866837
433	0.4152974513
434	0.4151051885
435	0.415077866
436	0.4150778653
437	0.4150687111
438	0.4150684294
439	0.4148850335
440	0.4148030621
441	0.4148031408
442	0.4148003938
443	0.4147999935
444	0.4148002318
445	0.4147482751
446	0.4146805095
447	0.4141748313
448	0.4141749518
449	0.4140096904
450	0.4137798433
451	0.413699785
452	0.4136998235
453	0.413613612
454	0.4135872323
455	0.413587433
456	0.4135297952
457	0.413436179
458	0.4134363386
459	0.4132933178
460	0.4132933548
461	0.4132673091
462	0.4130670243
463	0.4130673824
464	0.4129513218
465	0.4127225058
466	0.4127099162
467	0.4124160554
468	0.4124100763
469	0.4123523703
470	0.4118343694
471	0.4117045444
472	0.4114077667
473	0.4113520033
474	0.411321812
475	0.4113056284
476	0.411292636
477	0.4112801358
478	0.4111429112
479	0.4109542849
480	0.4107785773
481	0.4104104771
482	0.4104067666
483	0.4103063607
484	0.4103059587
485	0.4098848682
486	0.4098569967
487	0.4092900013
488	0.409273988
489	0.4087786191
490	0.4085398688
491	0.4085397878
492	0.4084449184
493	0.4082406458
494	0.4082386388
495	0.4081170651
496	0.4078162055
497	0.4078159627
498	0.4077908243
499	0.4077861814
500	0.4077812857
501	0.4076861844
502	0.407686025
503	0.4076860643
504	0.4074466178
505	0.4074464565
506	0.4072564321
507	0.407070649
508	0.4070708882
509	0.407070568
510	0.4069713097
511	0.406733413
512	0.4066964292
513	0.4064766273
514	0.4064766668
515	0.4064765865
516	0.4064765865
517	0.4064615389
518	0.4064405735
519	0.4064018533
520	0.4064019322
521	0.4062585947
522	0.4062125678
523	0.406106352
524	0.4060542541
525	0.4057543063
526	0.4057020138
527	0.4056073195
528	0.4055643744
529	0.4055641725
530	0.4055601669
531	0.4054348174
532	0.4054246813
533	0.4052072721
534	0.4048758373
535	0.4048257126
536	0.4048255908
537	0.4048038078
538	0.4045761366
539	0.4045449171
540	0.4045403076
541	0.4045404272
542	0.4045198538
543	0.40451654
544	0.4045128259
545	0.4045128677
546	0.4045128276
547	0.4044818553
548	0.4043445508
549	0.4043432961
550	0.4043434144
551	0.4043355665
552	0.4041983172
