date,model_name,scaler,best_score,criterion,max_features,min_impurity_decrease,min_samples_split,min_weight_fraction_leaf,random_state,max_depth,splitter,class_weight,gamma,kernel,C,degree
2022-11-21 15:14:51,RandomForestClassifierr,StandardScaler,0.6331784616075237,gini,auto,0.0,2.0,0.0,42.0,,,,,,,
2022-11-21 16:40:22,DecisionTreeClassifier,StandardScaler,0.6331784616075237,gini,,0.0,2.0,0.0,42.0,2.0,best,,,,,
2022-11-21 23:15:31,SVC,StandardScaler,0.5316813682580298,,,,,,,,,balanced,scale,linear,,
2022-11-21 23:28:56,SVC_2,StandardScaler,0.5316813682580298,,,,,,,,,balanced,scale,linear,2.0,2.0
2022-11-22 10:58:40,DecisionTreeClassifier,StandardScaler,0.6331784616075237,gini,,0.0,2.0,0.0,42.0,2.0,best,,,,,
2022-11-22 11:33:12,DecisionTreeClassifier,StandardScaler,0.6331784616075237,gini,,0.0,2.0,0.0,42.0,2.0,best,,,,,
